	seqname	source	feature	start	end	score	strand	frame	attribute
21	6	ena	gene	17770205	17776105	.	+	.	"gene_id ""BVRB_6g139530""; gene_source ""ena""; gene_biotype ""protein_coding"";"
22	6	ena	gene	23469609	23480983	.	-	.	"gene_id ""BVRB_6g141200""; gene_source ""ena""; gene_biotype ""protein_coding"";"
23	6	ena	gene	41851025	41854889	.	+	.	"gene_id ""BVRB_6g145610""; gene_source ""ena""; gene_biotype ""protein_coding"";"
24	6	ena	gene	56984174	56989693	.	+	.	"gene_id ""BVRB_6g152500""; gene_source ""ena""; gene_biotype ""protein_coding"";"
25	6	ena	gene	54567298	54568299	.	-	.	"gene_id ""BVRB_6g150630""; gene_source ""ena""; gene_biotype ""protein_coding"";"
26	6	ena	gene	29288006	29308438	.	-	.	"gene_id ""BVRB_6g142710""; gene_source ""ena""; gene_biotype ""protein_coding"";"
27	6	ena	gene	27698840	27700878	.	-	.	"gene_id ""BVRB_6g142290""; gene_source ""ena""; gene_biotype ""protein_coding"";"
28	6	ena	gene	56617685	56630689	.	+	.	"gene_id ""BVRB_6g152180""; gene_source ""ena""; gene_biotype ""protein_coding"";"
29	6	ena	gene	8730666	8731758	.	-	.	"gene_id ""BVRB_6g134620""; gene_source ""ena""; gene_biotype ""protein_coding"";"
30	6	ena	gene	14709357	14714471	.	+	.	"gene_id ""BVRB_6g138140""; gene_source ""ena""; gene_biotype ""protein_coding"";"
31	6	ena	gene	45177011	45185955	.	+	.	"gene_id ""BVRB_6g146390""; gene_source ""ena""; gene_biotype ""protein_coding"";"
32	6	ena	gene	55188593	55189107	.	-	.	"gene_id ""BVRB_6g151090""; gene_source ""ena""; gene_biotype ""protein_coding"";"
33	6	ena	gene	23233177	23243458	.	+	.	"gene_id ""BVRB_6g141120""; gene_source ""ena""; gene_biotype ""protein_coding"";"
34	6	ena	gene	6664112	6667486	.	+	.	"gene_id ""BVRB_6g132970""; gene_source ""ena""; gene_biotype ""protein_coding"";"
35	6	ena	gene	19274166	19283901	.	-	.	"gene_id ""BVRB_6g139900""; gene_source ""ena""; gene_biotype ""protein_coding"";"
36	6	ena	gene	41164559	41169099	.	+	.	"gene_id ""BVRB_6g145470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
37	6	ena	gene	38607999	38669823	.	-	.	"gene_id ""BVRB_6g144950""; gene_source ""ena""; gene_biotype ""protein_coding"";"
38	6	ena	gene	10810125	10810809	.	-	.	"gene_id ""BVRB_6g136030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
39	6	ena	gene	2410388	2413931	.	+	.	"gene_id ""BVRB_6g128970""; gene_source ""ena""; gene_biotype ""protein_coding"";"
40	6	ena	gene	2353308	2365654	.	+	.	"gene_id ""BVRB_6g128930""; gene_source ""ena""; gene_biotype ""protein_coding"";"
41	6	ena	gene	54068271	54073199	.	-	.	"gene_id ""BVRB_6g150380""; gene_source ""ena""; gene_biotype ""protein_coding"";"
42	6	ena	gene	47702073	47710687	.	+	.	"gene_id ""BVRB_6g147240""; gene_source ""ena""; gene_biotype ""protein_coding"";"
43	6	ena	gene	56114728	56120791	.	+	.	"gene_id ""BVRB_6g151710""; gene_source ""ena""; gene_biotype ""protein_coding"";"
44	6	ena	gene	6006511	6007690	.	-	.	"gene_id ""BVRB_6g132330""; gene_source ""ena""; gene_biotype ""protein_coding"";"
45	6	ena	gene	34298715	34313173	.	-	.	"gene_id ""BVRB_6g143990""; gene_source ""ena""; gene_biotype ""protein_coding"";"
46	6	ena	gene	11872718	11876712	.	+	.	"gene_id ""BVRB_6g136630""; gene_source ""ena""; gene_biotype ""protein_coding"";"
47	6	ena	gene	1545556	1552657	.	-	.	"gene_id ""BVRB_6g128290""; gene_source ""ena""; gene_biotype ""protein_coding"";"
48	6	ena	gene	29177803	29196821	.	+	.	"gene_id ""BVRB_6g142660""; gene_source ""ena""; gene_biotype ""protein_coding"";"
49	6	ena	gene	43981493	43982564	.	-	.	"gene_id ""BVRB_6g146060""; gene_source ""ena""; gene_biotype ""protein_coding"";"
50	6	ena	gene	60458806	60460857	.	+	.	"gene_id ""BVRB_6g155010""; gene_source ""ena""; gene_biotype ""protein_coding"";"
51	6	ena	gene	18429212	18454146	.	+	.	"gene_id ""BVRB_6g139710""; gene_source ""ena""; gene_biotype ""protein_coding"";"
52	6	ena	gene	24569057	24570430	.	-	.	"gene_id ""BVRB_6g141460""; gene_source ""ena""; gene_biotype ""protein_coding"";"
53	6	ena	gene	58241823	58248615	.	+	.	"gene_id ""BVRB_6g153240""; gene_source ""ena""; gene_biotype ""protein_coding"";"
54	6	ena	gene	1375015	1381811	.	+	.	"gene_id ""BVRB_6g128150""; gene_source ""ena""; gene_biotype ""protein_coding"";"
55	6	ena	gene	59168450	59169832	.	+	.	"gene_id ""BVRB_6g153930""; gene_source ""ena""; gene_biotype ""protein_coding"";"
56	6	ena	gene	12555464	12561208	.	-	.	"gene_id ""BVRB_6g137030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
57	6	ena	gene	14969185	14971849	.	-	.	"gene_id ""BVRB_6g138230""; gene_source ""ena""; gene_biotype ""protein_coding"";"
58	6	ena	gene	12633273	12646562	.	+	.	"gene_id ""BVRB_6g137110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
59	6	ena	gene	58212883	58213717	.	+	.	"gene_id ""BVRB_6g153200""; gene_source ""ena""; gene_biotype ""protein_coding"";"
60	6	ena	gene	35661433	35665027	.	+	.	"gene_id ""BVRB_6g144260""; gene_source ""ena""; gene_biotype ""protein_coding"";"
61	6	ena	gene	6803352	6810119	.	-	.	"gene_id ""BVRB_6g133110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
62	6	ena	gene	11547504	11557038	.	+	.	"gene_id ""BVRB_6g136450""; gene_source ""ena""; gene_biotype ""protein_coding"";"
63	6	ena	gene	23376311	23380242	.	-	.	"gene_id ""BVRB_6g141180""; gene_source ""ena""; gene_biotype ""protein_coding"";"
64	6	ena	gene	59353290	59360304	.	-	.	"gene_id ""BVRB_6g154100""; gene_source ""ena""; gene_biotype ""protein_coding"";"
65	6	ena	gene	56922634	56935834	.	+	.	"gene_id ""BVRB_6g152430""; gene_source ""ena""; gene_biotype ""protein_coding"";"
66	6	ena	gene	26873344	26874656	.	-	.	"gene_id ""BVRB_6g142030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
67	6	ena	gene	21216557	21223393	.	+	.	"gene_id ""BVRB_6g140470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
68	6	ena	gene	47308652	47309343	.	+	.	"gene_id ""BVRB_6g147150""; gene_source ""ena""; gene_biotype ""protein_coding"";"
69	6	ena	gene	12948777	12949181	.	-	.	"gene_id ""BVRB_6g137330""; gene_source ""ena""; gene_biotype ""protein_coding"";"
70	6	ena	gene	41971725	41972657	.	+	.	"gene_id ""BVRB_6g145660""; gene_source ""ena""; gene_biotype ""protein_coding"";"
71	6	ena	gene	2527074	2527448	.	-	.	"gene_id ""BVRB_6g129110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
72	6	ena	gene	3222661	3227673	.	-	.	"gene_id ""BVRB_6g129750""; gene_source ""ena""; gene_biotype ""protein_coding"";"
73	6	ena	gene	567777	572910	.	+	.	"gene_id ""BVRB_6g127530""; gene_source ""ena""; gene_biotype ""protein_coding"";"
74	6	ena	gene	1180089	1182753	.	+	.	"gene_id ""BVRB_6g128040""; gene_source ""ena""; gene_biotype ""protein_coding"";"
75	6	ena	gene	6465297	6471000	.	+	.	"gene_id ""BVRB_6g132790""; gene_source ""ena""; gene_biotype ""protein_coding"";"
76	6	ena	gene	4239881	4279050	.	-	.	"gene_id ""BVRB_6g130680""; gene_source ""ena""; gene_biotype ""protein_coding"";"
77	6	ena	gene	36283820	36294283	.	+	.	"gene_id ""BVRB_6g144360""; gene_source ""ena""; gene_biotype ""protein_coding"";"
78	6	ena	gene	54123494	54127628	.	+	.	"gene_id ""BVRB_6g150400""; gene_source ""ena""; gene_biotype ""protein_coding"";"
79	6	ena	gene	51657503	51658319	.	+	.	"gene_id ""BVRB_6g148500""; gene_source ""ena""; gene_biotype ""protein_coding"";"
80	6	ena	gene	6570792	6577854	.	+	.	"gene_id ""BVRB_6g132910""; gene_source ""ena""; gene_biotype ""protein_coding"";"
81	6	ena	gene	7499526	7500320	.	+	.	"gene_id ""BVRB_6g133640""; gene_source ""ena""; gene_biotype ""protein_coding"";"
82	6	ena	gene	49887963	49888674	.	-	.	"gene_id ""BVRB_6g147890""; gene_source ""ena""; gene_biotype ""protein_coding"";"
83	6	ena	gene	606237	613359	.	+	.	"gene_id ""BVRB_6g127580""; gene_source ""ena""; gene_biotype ""protein_coding"";"
84	6	ena	gene	6032225	6034019	.	+	.	"gene_id ""BVRB_6g132350""; gene_source ""ena""; gene_biotype ""protein_coding"";"
85	6	ena	gene	22266132	22284470	.	-	.	"gene_id ""BVRB_6g140810""; gene_source ""ena""; gene_biotype ""protein_coding"";"
86	6	ena	gene	48895737	48896590	.	-	.	"gene_id ""BVRB_6g147570""; gene_source ""ena""; gene_biotype ""protein_coding"";"
87	6	ena	gene	17283684	17294145	.	-	.	"gene_id ""BVRB_6g139370""; gene_source ""ena""; gene_biotype ""protein_coding"";"
88	6	ena	gene	22374815	22380452	.	+	.	"gene_id ""BVRB_6g140830""; gene_source ""ena""; gene_biotype ""protein_coding"";"
89	6	ena	gene	60191981	60206634	.	+	.	"gene_id ""BVRB_6g154750""; gene_source ""ena""; gene_biotype ""protein_coding"";"
90	6	ena	gene	31170477	31191911	.	-	.	"gene_id ""BVRB_6g143240""; gene_source ""ena""; gene_biotype ""protein_coding"";"
91	6	ena	gene	57129038	57129744	.	+	.	"gene_id ""BVRB_6g152660""; gene_source ""ena""; gene_biotype ""protein_coding"";"
92	6	ena	gene	6320189	6321449	.	+	.	"gene_id ""BVRB_6g132650""; gene_source ""ena""; gene_biotype ""protein_coding"";"
93	6	ena	gene	49173715	49202022	.	+	.	"gene_id ""BVRB_6g147650""; gene_source ""ena""; gene_biotype ""protein_coding"";"
94	6	ena	gene	5096181	5103021	.	-	.	"gene_id ""BVRB_6g131470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
95	6	ena	gene	45787043	45787408	.	+	.	"gene_id ""BVRB_6g146620""; gene_source ""ena""; gene_biotype ""protein_coding"";"
96	6	ena	gene	10720724	10724548	.	+	.	"gene_id ""BVRB_6g135960""; gene_source ""ena""; gene_biotype ""protein_coding"";"
97	6	ena	gene	26171207	26189694	.	-	.	"gene_id ""BVRB_6g141830""; gene_source ""ena""; gene_biotype ""protein_coding"";"
98	6	ena	gene	912400	917167	.	+	.	"gene_id ""BVRB_6g127870""; gene_source ""ena""; gene_biotype ""protein_coding"";"
99	6	ena	gene	18386982	18387496	.	+	.	"gene_id ""BVRB_6g139700""; gene_source ""ena""; gene_biotype ""protein_coding"";"
100	6	ena	gene	54354066	54388201	.	+	.	"gene_id ""BVRB_6g150530""; gene_source ""ena""; gene_biotype ""protein_coding"";"
101	6	ena	gene	6407617	6409323	.	+	.	"gene_id ""BVRB_6g132730""; gene_source ""ena""; gene_biotype ""protein_coding"";"
102	6	ena	gene	1334495	1343089	.	+	.	"gene_id ""BVRB_6g128110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
103	6	ena	gene	1252796	1254730	.	-	.	"gene_id ""BVRB_6g128070""; gene_source ""ena""; gene_biotype ""protein_coding"";"
104	6	ena	gene	60645442	60647060	.	+	.	"gene_id ""BVRB_6g155180""; gene_source ""ena""; gene_biotype ""protein_coding"";"
105	6	ena	gene	10850324	10854355	.	+	.	"gene_id ""BVRB_6g136070""; gene_source ""ena""; gene_biotype ""protein_coding"";"
106	6	ena	gene	57025919	57030223	.	-	.	"gene_id ""BVRB_6g152530""; gene_source ""ena""; gene_biotype ""protein_coding"";"
107	6	ena	gene	59133061	59139375	.	-	.	"gene_id ""BVRB_6g153910""; gene_source ""ena""; gene_biotype ""protein_coding"";"
108	6	ena	gene	1349995	1356565	.	+	.	"gene_id ""BVRB_6g128120""; gene_source ""ena""; gene_biotype ""protein_coding"";"
109	6	ena	gene	30764735	30775699	.	+	.	"gene_id ""BVRB_6g143080""; gene_source ""ena""; gene_biotype ""protein_coding"";"
110	6	ena	gene	53719210	53719594	.	-	.	"gene_id ""BVRB_6g150130""; gene_source ""ena""; gene_biotype ""protein_coding"";"
111	6	ena	gene	13232518	13232980	.	+	.	"gene_id ""BVRB_6g137440""; gene_source ""ena""; gene_biotype ""protein_coding"";"
112	6	ena	gene	50287053	50295986	.	-	.	"gene_id ""BVRB_6g148030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
113	6	ena	gene	33407694	33411882	.	-	.	"gene_id ""BVRB_6g143850""; gene_source ""ena""; gene_biotype ""protein_coding"";"
114	6	ena	gene	31492644	31498073	.	-	.	"gene_id ""BVRB_6g143370""; gene_source ""ena""; gene_biotype ""protein_coding"";"
115	6	ena	gene	54074567	54079649	.	-	.	"gene_id ""BVRB_6g150390""; gene_source ""ena""; gene_biotype ""protein_coding"";"
116	6	ena	gene	25258063	25259884	.	+	.	"gene_id ""BVRB_6g141630""; gene_source ""ena""; gene_biotype ""protein_coding"";"
117	6	ena	gene	3352231	3371001	.	-	.	"gene_id ""BVRB_6g129830""; gene_source ""ena""; gene_biotype ""protein_coding"";"
118	6	ena	gene	55173942	55213965	.	+	.	"gene_id ""BVRB_6g151080""; gene_source ""ena""; gene_biotype ""protein_coding"";"
119	6	ena	gene	53481369	53485373	.	+	.	"gene_id ""BVRB_6g149940""; gene_source ""ena""; gene_biotype ""protein_coding"";"
120	6	ena	gene	14288348	14290165	.	+	.	"gene_id ""BVRB_6g137970""; gene_source ""ena""; gene_biotype ""protein_coding"";"
121	6	ena	gene	15262133	15266442	.	-	.	"gene_id ""BVRB_6g138450""; gene_source ""ena""; gene_biotype ""protein_coding"";"
122	6	ena	gene	18638785	18640788	.	+	.	"gene_id ""BVRB_6g139740""; gene_source ""ena""; gene_biotype ""protein_coding"";"
123	6	ena	gene	8207617	8209744	.	+	.	"gene_id ""BVRB_6g134300""; gene_source ""ena""; gene_biotype ""protein_coding"";"
124	6	ena	gene	8979714	8996438	.	-	.	"gene_id ""BVRB_6g134720""; gene_source ""ena""; gene_biotype ""protein_coding"";"
125	6	ena	gene	41105088	41113872	.	+	.	"gene_id ""BVRB_6g145460""; gene_source ""ena""; gene_biotype ""protein_coding"";"
126	6	ena	gene	10521876	10529000	.	+	.	"gene_id ""BVRB_6g135690""; gene_source ""ena""; gene_biotype ""protein_coding"";"
127	6	ena	gene	3429386	3438062	.	+	.	"gene_id ""BVRB_6g129900""; gene_source ""ena""; gene_biotype ""protein_coding"";"
128	6	ena	gene	9043494	9046641	.	-	.	"gene_id ""BVRB_6g134750""; gene_source ""ena""; gene_biotype ""protein_coding"";"
129	6	ena	gene	8948111	8948892	.	-	.	"gene_id ""BVRB_6g134700""; gene_source ""ena""; gene_biotype ""protein_coding"";"
130	6	ena	gene	13810409	13812829	.	-	.	"gene_id ""BVRB_6g137760""; gene_source ""ena""; gene_biotype ""protein_coding"";"
131	6	ena	gene	2849307	2850208	.	-	.	"gene_id ""BVRB_6g129400""; gene_source ""ena""; gene_biotype ""protein_coding"";"
132	6	ena	gene	13688139	13688859	.	-	.	"gene_id ""BVRB_6g137720""; gene_source ""ena""; gene_biotype ""protein_coding"";"
133	6	ena	gene	6141535	6142265	.	+	.	"gene_id ""BVRB_6g132450""; gene_source ""ena""; gene_biotype ""protein_coding"";"
134	6	ena	gene	44688492	44692046	.	+	.	"gene_id ""BVRB_6g146220""; gene_source ""ena""; gene_biotype ""protein_coding"";"
135	6	ena	gene	28456720	28460068	.	+	.	"gene_id ""BVRB_6g142460""; gene_source ""ena""; gene_biotype ""protein_coding"";"
136	6	ena	gene	4971961	4972994	.	-	.	"gene_id ""BVRB_6g131310""; gene_source ""ena""; gene_biotype ""protein_coding"";"
137	6	ena	gene	15277068	15280692	.	-	.	"gene_id ""BVRB_6g138470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
138	6	ena	gene	5307915	5315031	.	+	.	"gene_id ""BVRB_6g131670""; gene_source ""ena""; gene_biotype ""protein_coding"";"
139	6	ena	gene	6170018	6170734	.	-	.	"gene_id ""BVRB_6g132470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
140	6	ena	gene	54237896	54246753	.	+	.	"gene_id ""BVRB_6g150470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
141	6	ena	gene	8472973	8479540	.	-	.	"gene_id ""BVRB_6g134440""; gene_source ""ena""; gene_biotype ""protein_coding"";"
142	6	ena	gene	18352852	18353849	.	+	.	"gene_id ""BVRB_6g139690""; gene_source ""ena""; gene_biotype ""protein_coding"";"
143	6	ena	gene	6272809	6275661	.	+	.	"gene_id ""BVRB_6g132560""; gene_source ""ena""; gene_biotype ""protein_coding"";"
144	6	ena	gene	44706367	44738967	.	-	.	"gene_id ""BVRB_6g146240""; gene_source ""ena""; gene_biotype ""protein_coding"";"
145	6	ena	gene	41864535	41867649	.	+	.	"gene_id ""BVRB_6g145620""; gene_source ""ena""; gene_biotype ""protein_coding"";"
146	6	ena	gene	2382489	2386613	.	-	.	"gene_id ""BVRB_6g128960""; gene_source ""ena""; gene_biotype ""protein_coding"";"
147	6	ena	gene	57276036	57325622	.	-	.	"gene_id ""BVRB_6g152770""; gene_source ""ena""; gene_biotype ""protein_coding"";"
148	6	ena	gene	6495117	6501251	.	+	.	"gene_id ""BVRB_6g132840""; gene_source ""ena""; gene_biotype ""protein_coding"";"
149	6	ena	gene	9921606	9923180	.	+	.	"gene_id ""BVRB_6g135380""; gene_source ""ena""; gene_biotype ""protein_coding"";"
150	6	ena	gene	17777598	17779610	.	-	.	"gene_id ""BVRB_6g139540""; gene_source ""ena""; gene_biotype ""protein_coding"";"
151	6	ena	gene	4177395	4182952	.	-	.	"gene_id ""BVRB_6g130630""; gene_source ""ena""; gene_biotype ""protein_coding"";"
152	6	ena	gene	59104102	59105845	.	-	.	"gene_id ""BVRB_6g153870""; gene_source ""ena""; gene_biotype ""protein_coding"";"
153	6	ena	gene	5775220	5777482	.	+	.	"gene_id ""BVRB_6g132100""; gene_source ""ena""; gene_biotype ""protein_coding"";"
154	6	ena	gene	58137311	58139735	.	+	.	"gene_id ""BVRB_6g153140""; gene_source ""ena""; gene_biotype ""protein_coding"";"
155	6	ena	gene	4580259	4583001	.	+	.	"gene_id ""BVRB_6g130900""; gene_source ""ena""; gene_biotype ""protein_coding"";"
156	6	ena	gene	12546665	12547353	.	-	.	"gene_id ""BVRB_6g137020""; gene_source ""ena""; gene_biotype ""protein_coding"";"
157	6	ena	gene	3684712	3689146	.	+	.	"gene_id ""BVRB_6g130170""; gene_source ""ena""; gene_biotype ""protein_coding"";"
158	6	ena	gene	8726493	8730357	.	+	.	"gene_id ""BVRB_6g134610""; gene_source ""ena""; gene_biotype ""protein_coding"";"
159	6	ena	gene	54720736	54722056	.	-	.	"gene_id ""BVRB_6g150790""; gene_source ""ena""; gene_biotype ""protein_coding"";"
160	6	ena	gene	5440483	5448567	.	-	.	"gene_id ""BVRB_6g131790""; gene_source ""ena""; gene_biotype ""protein_coding"";"
161	6	ena	gene	59390327	59393471	.	-	.	"gene_id ""BVRB_6g154140""; gene_source ""ena""; gene_biotype ""protein_coding"";"
162	6	ena	gene	45313017	45317500	.	+	.	"gene_id ""BVRB_6g146450""; gene_source ""ena""; gene_biotype ""protein_coding"";"
163	6	ena	gene	22105900	22136434	.	+	.	"gene_id ""BVRB_6g140740""; gene_source ""ena""; gene_biotype ""protein_coding"";"
164	6	ena	gene	45343043	45358472	.	-	.	"gene_id ""BVRB_6g146480""; gene_source ""ena""; gene_biotype ""protein_coding"";"
165	6	ena	gene	16718358	16727192	.	+	.	"gene_id ""BVRB_6g139030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
166	6	ena	gene	7697809	7703593	.	-	.	"gene_id ""BVRB_6g133840""; gene_source ""ena""; gene_biotype ""protein_coding"";"
167	6	ena	gene	37900941	37906820	.	-	.	"gene_id ""BVRB_6g144830""; gene_source ""ena""; gene_biotype ""protein_coding"";"
168	6	ena	gene	16728208	16729093	.	+	.	"gene_id ""BVRB_6g139040""; gene_source ""ena""; gene_biotype ""protein_coding"";"
169	6	ena	gene	2466354	2470798	.	-	.	"gene_id ""BVRB_6g129030""; gene_source ""ena""; gene_biotype ""protein_coding"";"
170	6	ena	gene	24983524	24985868	.	-	.	"gene_id ""BVRB_6g141580""; gene_source ""ena""; gene_biotype ""protein_coding"";"
171	6	ena	gene	13406869	13412085	.	+	.	"gene_id ""BVRB_6g137600""; gene_source ""ena""; gene_biotype ""protein_coding"";"
172	6	ena	gene	57086793	57091513	.	-	.	"gene_id ""BVRB_6g152620""; gene_source ""ena""; gene_biotype ""protein_coding"";"
173	6	ena	gene	53385764	53390444	.	-	.	"gene_id ""BVRB_6g149890""; gene_source ""ena""; gene_biotype ""protein_coding"";"
174	6	ena	gene	11714272	11720484	.	+	.	"gene_id ""BVRB_6g136590""; gene_source ""ena""; gene_biotype ""protein_coding"";"
175	6	ena	gene	51365172	51368960	.	-	.	"gene_id ""BVRB_6g148440""; gene_source ""ena""; gene_biotype ""protein_coding"";"
176	6	ena	gene	24793948	24797202	.	-	.	"gene_id ""BVRB_6g141510""; gene_source ""ena""; gene_biotype ""protein_coding"";"
177	6	ena	gene	10647112	10648601	.	-	.	"gene_id ""BVRB_6g135820""; gene_source ""ena""; gene_biotype ""protein_coding"";"
178	6	ena	gene	5947857	5952327	.	-	.	"gene_id ""BVRB_6g132280""; gene_source ""ena""; gene_biotype ""protein_coding"";"
179	6	ena	gene	1528478	1529087	.	-	.	"gene_id ""BVRB_6g128270""; gene_source ""ena""; gene_biotype ""protein_coding"";"
180	6	ena	gene	36420442	36421874	.	+	.	"gene_id ""BVRB_6g144400""; gene_source ""ena""; gene_biotype ""protein_coding"";"
181	6	ena	gene	28470017	28470849	.	+	.	"gene_id ""BVRB_6g142470""; gene_source ""ena""; gene_biotype ""protein_coding"";"
182	6	ena	gene	47859323	47862717	.	+	.	"gene_id ""BVRB_6g147300""; gene_source ""ena""; gene_biotype ""protein_coding"";"
183	6	ena	gene	7761839	7763643	.	-	.	"gene_id ""BVRB_6g133890""; gene_source ""ena""; gene_biotype ""protein_coding"";"
184	6	ena	gene	2333102	2343323	.	-	.	"gene_id ""BVRB_6g128900""; gene_source ""ena""; gene_biotype ""protein_coding"";"
185	6	ena	gene	2473652	2479748	.	-	.	"gene_id ""BVRB_6g129040""; gene_source ""ena""; gene_biotype ""protein_coding"";"
186	6	ena	gene	48605415	48606587	.	+	.	"gene_id ""BVRB_6g147490""; gene_source ""ena""; gene_biotype ""protein_coding"";"
187	6	ena	gene	35894877	35902241	.	+	.	"gene_id ""BVRB_6g144300""; gene_source ""ena""; gene_biotype ""protein_coding"";"
188	6	ena	gene	6577934	6579167	.	-	.	"gene_id ""BVRB_6g132920""; gene_source ""ena""; gene_biotype ""protein_coding"";"
189	6	ena	gene	52488000	52493084	.	-	.	"gene_id ""BVRB_6g149200""; gene_source ""ena""; gene_biotype ""protein_coding"";"
190	6	ena	gene	58117411	58120755	.	+	.	"gene_id ""BVRB_6g153110""; gene_source ""ena""; gene_biotype ""protein_coding"";"
191	6	ena	gene	10649236	10650387	.	+	.	"gene_id ""BVRB_6g135830""; gene_source ""ena""; gene_biotype ""protein_coding"";"
192	6	ena	gene	45542718	45543332	.	-	.	"gene_id ""BVRB_6g146540""; gene_source ""ena""; gene_biotype ""protein_coding"";"
193	6	ena	gene	21029190	21032424	.	+	.	"gene_id ""BVRB_6g140390""; gene_source ""ena""; gene_biotype ""protein_coding"";"
194	6	ena	gene	7236810	7238794	.	-	.	"gene_id ""BVRB_6g133450""; gene_source ""ena""; gene_biotype ""protein_coding"";"
195	6	ena	gene	57053828	57065817	.	+	.	"gene_id ""BVRB_6g152560""; gene_source ""ena""; gene_biotype ""protein_coding"";"
196	6	ena	gene	60811878	60821089	.	-	.	"gene_id ""BVRB_6g155270""; gene_source ""ena""; gene_biotype ""protein_coding"";"
197	6	ena	gene	8042337	8046393	.	+	.	"gene_id ""BVRB_6g134140""; gene_source ""ena""; gene_biotype ""protein_coding"";"
198	6	ena	gene	53200926	53203952	.	-	.	"gene_id ""BVRB_6g149800""; gene_source ""ena""; gene_biotype ""protein_coding"";"
199	6	ena	gene	43982840	43991884	.	-	.	"gene_id ""BVRB_6g146070""; gene_source ""ena""; gene_biotype ""protein_coding"";"
200	6	ena	gene	33406117	33407412	.	+	.	"gene_id ""BVRB_6g143840""; gene_source ""ena""; gene_biotype ""protein_coding"";"
201	6	ena	gene	34221867	34235703	.	+	.	"gene_id ""BVRB_6g143950""; gene_source ""ena""; gene_biotype ""protein_coding"";"
